iter	Passed	Remaining
0	210	210079
1	238	118969
2	274	91277
3	310	77300
4	333	66278
5	355	58879
6	377	53577
7	400	49634
8	428	47173
9	467	46272
10	499	44882
11	526	43309
12	551	41870
13	581	40973
14	612	40234
15	643	39585
16	667	38607
17	694	37889
18	717	37054
19	744	36477
20	767	35781
21	797	35434
22	828	35205
23	852	34660
24	877	34234
25	901	33770
26	925	33360
27	948	32926
28	975	32648
29	999	32328
30	1033	32318
31	1057	32004
32	1089	31933
33	1139	32367
34	1171	32312
35	1197	32058
36	1229	32002
37	1260	31919
38	1284	31657
39	1309	31431
40	1334	31204
41	1359	31013
42	1391	30974
43	1425	30981
44	1452	30830
45	1499	31107
46	1536	31164
47	1590	31548
48	1636	31761
49	1675	31828
50	1704	31716
51	1735	31637
52	1762	31497
53	1800	31537
54	1826	31387
55	1851	31213
56	1877	31068
57	1900	30862
58	1927	30737
59	1955	30638
60	1992	30676
61	2023	30611
62	2050	30496
63	2076	30364
64	2100	30217
65	2130	30148
66	2164	30134
67	2187	29988
68	2212	29856
69	2235	29705
70	2258	29548
71	2283	29432
72	2312	29365
73	2341	29305
74	2367	29204
75	2414	29351
76	2448	29347
77	2477	29284
78	2520	29390
79	2556	29401
80	2583	29316
81	2618	29317
82	2647	29248
83	2673	29150
84	2707	29145
85	2739	29119
86	2764	29009
87	2788	28900
88	2816	28825
89	2842	28739
90	2890	28873
91	2930	28926
92	2966	28934
93	3001	28925
94	3037	28939
95	3087	29074
96	3145	29286
97	3173	29204
98	3198	29108
99	3228	29058
100	3251	28945
101	3279	28874
102	3317	28892
103	3346	28835
104	3373	28755
105	3399	28669
106	3428	28612
107	3453	28526
108	3484	28480
109	3518	28470
110	3544	28385
111	3568	28293
112	3591	28194
113	3617	28113
114	3654	28126
115	3712	28293
116	3747	28280
117	3792	28349
118	3822	28296
119	3871	28390
120	3913	28426
121	3951	28439
122	3979	28373
123	4002	28278
124	4032	28229
125	4055	28130
126	4088	28101
127	4113	28021
128	4139	27947
129	4165	27874
130	4198	27852
131	4231	27826
132	4269	27830
133	4299	27788
134	4333	27764
135	4364	27728
136	4392	27666
137	4418	27600
138	4442	27520
139	4474	27483
140	4497	27402
141	4527	27353
142	4557	27310
143	4581	27235
144	4615	27215
145	4644	27169
146	4672	27113
147	4704	27084
148	4729	27009
149	4752	26929
150	4789	26929
151	4812	26850
152	4843	26810
153	4888	26853
154	4911	26775
155	4938	26720
